InsertRemoveRandomP3_200k;161;136;126
InsertRemoveRandomP3_300k;176;176;182
InsertRemoveRandomP5_300k;196;195;193
InsertRemoveRandomP5_400k;293;281;277
Insert4Remove1_100k;54;50;51
Insert4Remove1_300k;193;193;193
ReverseRemoval_200k;42;38;38
Insert4Remove1_200k;121;119;122
InsertRemoveRandomP3_10k;3;3;4
InsertRemoveRandomP5_10k;4;4;4
ReverseRemoval_100k;19;16;19
ReverseRemoval_300k;60;59;56
InsertRemoveRandomP5_200k;117;121;120
Insert4Remove1_10k;4;4;4
ReverseRemoval_400k;85;88;82
InsertRemoveRandomP3_400k;248;250;255
InsertRemoveRandomP3_100k;47;46;46
Insert4Remove1_400k;300;319;298
InsertRemoveRandomP5_100k;54;54;57
ReverseRemoval_10k;2;1;1
Insert4Poll1_100k;230;168;153
Insert4Poll1_300k;501;460;466
Insert4Poll1_400k;657;654;648
Insert4Poll1_200k;298;297;309
Insert4Poll1_10k;10;10;10

